iter	Passed	Remaining
455	844	1007
456	847	1006
457	848	1004
458	850	1002
459	852	1000
460	853	998
461	855	996
462	856	993
463	860	994
464	862	992
465	865	991
466	867	990
467	872	991
468	876	992
469	879	991
470	881	989
471	882	987
472	884	985
473	885	982
474	886	980
475	888	978
476	890	976
477	892	974
478	894	972
479	895	970
480	896	967
481	898	965
482	899	963
483	901	960
484	902	958
485	905	957
486	907	955
487	908	953
488	909	950
489	911	948
490	912	945
491	913	943
492	915	941
493	916	938
494	917	936
495	921	936
496	923	934
497	924	931
498	926	930
499	928	928
500	930	926
501	932	924
502	934	923
503	936	921
504	937	918
505	938	916
506	940	914
507	941	911
508	942	909
509	943	906
510	945	904
511	946	902
512	947	899
513	950	898
514	951	896
515	953	894
516	954	891
517	955	889
518	956	886
519	958	884
520	959	882
521	960	879
522	961	877
523	964	875
524	966	874
525	967	871
526	969	869
527	970	867
528	971	865
529	972	862
530	974	860
531	975	858
532	976	855
533	978	853
534	979	851
535	981	849
536	982	847
537	983	844
538	984	842
539	986	840
540	987	837
541	988	835
542	989	833
543	991	830
544	993	829
545	995	827
546	996	825
547	998	823
548	1000	821
549	1001	819
550	1003	817
551	1004	815
552	1006	813
553	1008	811
554	1009	809
555	1011	807
556	1012	805
557	1013	802
558	1014	800
559	1016	798
560	1017	796
561	1018	793
562	1019	791
563	1021	789
564	1023	788
565	1025	786
566	1026	783
567	1027	781
568	1029	779
569	1030	777
570	1031	775
571	1033	773
572	1034	770
573	1035	768
574	1038	767
575	1039	765
576	1040	763
577	1042	761
578	1043	759
579	1045	756
580	1046	754
581	1047	752
582	1048	750
583	1050	748
584	1051	746
585	1053	744
586	1055	742
587	1056	740
588	1058	738
589	1059	736
590	1060	734
591	1062	732
592	1063	729
593	1064	727
594	1066	725
595	1068	724
596	1069	721
597	1070	719
598	1072	717
599	1073	715
600	1074	713
601	1075	711
602	1077	709
603	1078	706
604	1079	704
605	1081	702
606	1083	701
607	1084	699
608	1085	697
609	1087	695
610	1089	693
611	1090	691
612	1091	689
613	1093	687
614	1094	685
615	1097	684
616	1099	682
617	1100	680
618	1102	678
619	1103	676
620	1104	674
621	1106	672
622	1107	670
623	1109	668
624	1111	667
625	1113	665
626	1114	663
627	1115	661
628	1117	658
629	1118	656
630	1119	654
631	1121	652
632	1122	650
633	1123	648
634	1124	646
635	1127	645
636	1128	643
637	1129	641
638	1131	639
639	1132	636
640	1133	634
641	1134	632
642	1136	630
643	1137	628
644	1138	626
645	1140	624
646	1142	623
647	1143	621
648	1145	619
649	1146	617
650	1147	615
651	1148	613
652	1150	611
653	1151	609
654	1152	607
655	1154	605
656	1156	603
657	1158	601
658	1159	600
659	1160	598
660	1162	596
661	1164	594
662	1165	592
663	1167	590
664	1168	588
665	1169	586
666	1171	585
667	1173	583
668	1174	581
669	1175	579
670	1177	577
671	1178	575
672	1179	573
673	1180	571
674	1182	569
675	1183	567
676	1185	565
677	1187	563
678	1188	561
679	1189	559
680	1191	557
681	1192	556
682	1193	554
683	1194	552
684	1196	550
685	1197	548
686	1198	546
687	1201	544
688	1202	542
689	1203	540
690	1205	538
691	1206	536
692	1207	534
693	1208	533
694	1210	531
695	1211	529
696	1212	527
697	1214	525
698	1216	523
699	1217	521
700	1218	519
701	1220	517
702	1221	515
703	1222	514
704	1223	512
705	1225	510
706	1226	508
707	1227	506
708	1229	504
709	1231	503
710	1233	501
711	1235	499
712	1236	497
713	1238	496
714	1240	494
715	1242	492
716	1243	490
717	1245	489
718	1247	487
719	1248	485
720	1250	483
721	1251	481
722	1252	480
723	1254	478
724	1255	476
725	1256	474
726	1258	472
727	1260	470
728	1261	469
729	1263	467
730	1264	465
731	1265	463
732	1266	461
733	1268	459
734	1269	457
735	1270	455
736	1271	453
737	1273	451
738	1275	450
739	1276	448
740	1278	446
741	1279	444
742	1280	443
743	1282	441
744	1283	439
745	1284	437
746	1285	435
747	1287	433
748	1288	431
749	1290	430
750	1292	428
751	1293	426
752	1295	424
753	1296	422
754	1297	421
755	1298	419
756	1300	417
757	1301	415
758	1302	413
759	1305	412
760	1306	410
761	1307	408
762	1309	406
763	1310	404
764	1311	402
765	1312	401
766	1314	399
767	1315	397
768	1316	395
769	1318	393
770	1320	392
771	1321	390
772	1323	388
773	1324	386
774	1325	384
775	1326	383
776	1328	381
777	1329	379
778	1330	377
779	1331	375
780	1335	374
781	1337	372
782	1340	371
783	1342	369
784	1344	368
785	1345	366
786	1347	364
787	1349	363
788	1351	361
789	1354	360
790	1356	358
791	1358	356
792	1360	355
793	1361	353
794	1364	351
795	1366	350
796	1368	348
797	1369	346
798	1371	344
799	1372	343
800	1374	341
801	1376	339
802	1379	338
803	1384	337
804	1386	335
805	1388	334
806	1389	332
807	1391	330
808	1394	329
809	1396	327
810	1398	325
811	1400	324
812	1402	322
813	1404	321
814	1406	319
815	1409	317
816	1412	316
817	1414	314
818	1416	313
819	1418	311
820	1420	309
821	1422	308
822	1426	306
823	1428	305
824	1431	303
825	1433	301
826	1435	300
827	1436	298
828	1438	296
829	1440	295
830	1442	293
831	1443	291
832	1445	289
833	1447	288
834	1448	286
835	1450	284
836	1451	282
837	1453	280
838	1455	279
839	1456	277
840	1458	275
841	1459	273
842	1460	272
843	1461	270
844	1463	268
845	1464	266
846	1465	264
847	1467	262
848	1470	261
849	1471	259
850	1473	257
851	1474	256
852	1476	254
853	1477	252
854	1479	250
855	1480	249
856	1482	247
857	1485	245
858	1486	244
859	1488	242
860	1489	240
861	1491	238
862	1492	236
863	1494	235
864	1496	233
865	1500	232
866	1502	230
867	1504	228
868	1507	227
869	1508	225
870	1510	223
871	1512	221
872	1515	220
873	1517	218
874	1519	217
875	1521	215
876	1522	213
877	1524	211
878	1526	210
879	1527	208
880	1532	206
881	1534	205
882	1536	203
883	1538	201
884	1540	200
885	1542	198
886	1546	197
887	1548	195
888	1550	193
889	1552	191
890	1553	190
891	1555	188
892	1557	186
893	1560	185
894	1562	183
895	1564	181
896	1565	179
897	1567	178
898	1569	176
899	1571	174
900	1573	172
901	1576	171
902	1578	169
903	1580	167
904	1581	166
905	1583	164
906	1584	162
907	1585	160
908	1587	158
909	1590	157
910	1592	155
911	1594	153
912	1596	152
913	1600	150
914	1602	148
915	1603	147
916	1606	145
917	1608	143
918	1610	141
919	1612	140
920	1614	138
921	1616	136
922	1617	134
923	1622	133
924	1625	131
925	1628	130
926	1631	128
927	1632	126
928	1636	125
929	1638	123
930	1640	121
931	1642	119
932	1644	118
933	1651	116
934	1654	115
935	1656	113
936	1658	111
937	1660	109
938	1662	107
939	1664	106
940	1667	104
941	1669	102
942	1676	101
943	1683	99
944	1685	98
945	1687	96
946	1689	94
947	1691	92
948	1693	90
949	1695	89
950	1699	87
951	1702	85
952	1704	84
953	1706	82
954	1708	80
955	1710	78
956	1715	77
957	1717	75
958	1719	73
959	1721	71
960	1723	69
961	1726	68
962	1729	66
963	1730	64
964	1732	62
965	1734	61
966	1736	59
967	1738	57
968	1740	55
969	1743	53
970	1747	52
971	1749	50
972	1751	48
973	1752	46
974	1753	44
975	1755	43
976	1758	41
977	1759	39
978	1761	37
979	1763	35
980	1764	34
981	1765	32
982	1767	30
983	1768	28
984	1769	26
985	1772	25
986	1773	23
987	1775	21
988	1776	19
989	1778	17
990	1779	16
991	1780	14
992	1781	12
993	1783	10
994	1784	8
995	1786	7
996	1788	5
997	1789	3
998	1790	1
999	1792	0
